id,name,length,owners,suppliers,rfs,rfs_year,is_planned,url,notes,n_landing_points,countries
nordbalt,NordBalt,400 km,"Litgrid, Svenska Kraftnät",,2016,2016.0,False,,"Lietuvos Energija and Svenska Kraftnät operate the NordBalt cable, a high-voltage power cable that also has a fiber-optic cable alongside it.",2,"Lithuania, Sweden"
norfest,Norfest,749 km,Tampnet,Nexans,2023 December,2023.0,False,https://www.tampnet.com/norfest,,10,"Norway, Sweden"
norte-conectado-infovia-00,Norte Conectado (Infovia 00),770 km,"Aquamar Group, BR.Digital Telecom, ICOM Telecom, SEA Telecom, Telefonica, Wirelink",Prysmian,2022 July,2022.0,False,https://www.gov.br/mcom/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/norte-conectado,Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries.,5,Brazil
norte-conectado-infovia-01,Norte Conectado (Infovia 01),"1,100 km","Alloha Fibra, América Móvil (Claro), Aquamar Group, BR Fibra, ICOM Telecom, Ozônio Telecom, PPLink, SEA Telecom, TIM Brasil, Telefonica, V.tal, Você Telecom","HMN Tech, HT Cabos",2023 August,2023.0,False,https://www.gov.br/mcom/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/norte-conectado,Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries.,11,Brazil
norte-conectado-infovia-02,Norte Conectado (Infovia 02),"1,796 km",Entidade Administradora da Faixa (EAF),ZTT,2026,2026.0,True,https://eaf.org.br/infovias,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",13,Brazil
norte-conectado-infovia-03,Norte Conectado (Infovia 03),600 km,Entidade Administradora da Faixa (EAF),ZTT,2025,2025.0,False,https://eaf.org.br/infovias,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",8,Brazil
norte-conectado-infovia-04,Norte Conectado (Infovia 04),515 km,Entidade Administradora da Faixa (EAF),ZTT,2026,2026.0,True,https://eaf.org.br/infovias,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",4,Brazil
norte-conectado-infovia-05,Norte Conectado (Infovia 05),"1,116 km",Entidade Administradora da Faixa (EAF),,2028,2028.0,True,https://eaf.org.br/infovias,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",9,Brazil
norte-conectado-infovia-06,Norte Conectado (Infovia 06),"2,847 km",Entidade Administradora da Faixa (EAF),,2028,2028.0,True,https://eaf.org.br/infovias,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",2,Brazil
norte-conectado-infovia-08,Norte Conectado (Infovia 08),"2,766 km",Entidade Administradora da Faixa (EAF),,2028,2028.0,True,https://eaf.org.br/infovias,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",2,Brazil
north-west-cable-system,North-West Cable System,"2,100 km",Vocus Communications,ASN,2016 September,2016.0,False,http://www.vocus.com.au,,3,Australia
northern-lights,Northern Lights,67 km,BT,,2008,2008.0,False,,,2,United Kingdom
northstar,NorthStar,"3,229 km",Alaska Communications,ASN,1999 October,1999.0,False,https://www.alaskacommunications.com,,4,United States
nuvem,Nuvem,"7,194 km",Google,SubCom,2026,2026.0,True,https://cloud.google.com,,4,"Bermuda, Portugal, United States"
ogasawara-cable-network,Ogasawara Cable Network,"1,038 km",Tokyo Metropolitan Government,NEC,2011 July,2011.0,False,,,3,Japan
okinawa-cellular-cable,Okinawa Cellular Cable,760 km,Okinawa Cellular Telephone Company,NEC,2020 April,2020.0,False,https://www.au.com/okinawa_cellular/,,2,Japan
okinawa-miyakojima-ishigaki,Okinawa-Miyakojima-Ishigaki,467 km,NTT,,2004,2004.0,False,,,3,Japan
okinawa-remote-islands,Okinawa Remote Islands,915 km,Okinawa Prefecture,,2017 January,2017.0,False,,This cable was constructed as part of the Okinawa Remote Islands Information and Communication Infrastructure Development Promotion Project.,9,Japan
olisipo,Olisipo,110 km,EllaLink,,2026 Q2,2026.0,True,https://www.ella.link/,,2,Portugal
oman-australia-cable-oac,Oman Australia Cable (OAC),"11,000 km",SUBCO,SubCom,2022 October,2022.0,False,https://sub.co/,,5,"Australia, British Indian Ocean Territory, Cocos (Keeling) Islands, Oman"
omranepeg,OMRAN/EPEG,600 km,"Vodafone, Zain Omantel International",,2013 Q1,2013.0,False,http://www.omantel.om,,5,"Iran, Oman"
oran-valencia-orval,Oran-Valencia (ORVAL),770 km,Algerie Telecom,ASN,2020 December,2020.0,False,https://www.algerietelecom.dz/,,3,"Algeria, Spain"
orca,ORCA,"12,482 km",Meta,ASN,2027 Q1,2027.0,True,https://www.meta.com/,,3,"Taiwan, United States"
oskarshamn-visby,Oskarshamn-Visby,,GlobalConnect,,2008,2008.0,False,https://globalconnectcarrier.com/,,2,Sweden
oteglobe-kokkini-bari,OTEGLOBE Kokkini-Bari,700 km,OTEGLOBE,ASN,2004 June,2004.0,False,http://www.oteglobe.gr,,2,"Greece, Italy"
pacific-caribbean-cable-system-pccs,Pacific Caribbean Cable System (PCCS),"6,163 km","Liberty Networks, Setar, Telconet, Telxius, United Telecommunication Services (UTS)",ASN,2015 September,2015.0,False,,The portion of PCCS linking Aruba with Curacao is operated by Setar and United Telecommunication Services (UTS). This portion of the cable is called Alonso de Ojeda II.,9,"Aruba, Colombia, Curaçao, Ecuador, Panama, United States, Virgin Islands (U.K.)"
pacific-crossing-1-pc-1,Pacific Crossing-1 (PC-1),"21,000 km",Pacific Crossing,SubCom,1999 December,1999.0,False,http://www.pc1.com,,4,"Japan, United States"
pacific-light-cable-network-plcn,Pacific Light Cable Network (PLCN),"11,806 km","Google, Meta",SubCom,2022 January,2022.0,False,,,3,"Philippines, Taiwan, United States"
padang-tua-pejat,Padang-Tua Pejat,160 km,Telkom Indonesia,,2019,2019.0,False,,,2,Indonesia
