id,name,length,owners,suppliers,rfs,rfs_year,is_planned,url,notes,n_landing_points,countries
sea-h2x,SEA-H2X,"6,000 km","China Mobile, China Unicom, Converge ICT",HMN Tech,2026,2026.0,True,,,6,"China, Malaysia, Philippines, Singapore, Thailand"
sea-us,SEA-US,"14,500 km","GTA TeleGuam, Globe Telecom, Hawaiian Telcom, Lightstorm Telecom, Telin",NEC,2017 August,2017.0,False,,,7,"Guam, Indonesia, Micronesia, Palau, Philippines, United States"
sea2shore,sea2shore,32 km,National Grid,,2016,2016.0,False,,,2,United States
seabras-1,Seabras-1,"10,800 km","Seaborn Networks, Sparkle",ASN,2017 September,2017.0,False,http://www.seabornnetworks.com,,2,"Brazil, United States"
seacomtata-tgn-eurasia,SEACOM/Tata TGN-Eurasia,"15,000 km","SEACOM, Tata Communications",SubCom,2009 July,2009.0,False,http://www.seacom.mu,"SEACOM owns the entire East African portion of the system and two fiber pairs between Egypt and India. Tata Communications owns two fiber pairs from Egypt to India and the branch to Jeddah, which the company refers to as TGN-Eurasia. Both SEACOM and Tata Communications own fiber pairs on TE North for connectivity across Egypt to Europe.",8,"Djibouti, Egypt, India, Kenya, Mozambique, Saudi Arabia, South Africa, Tanzania"
sealink,SEALink,345 km,Alaska Power & Telephone Company Wireless (APTW),Prysmian,2023 Q1,2023.0,False,https://www.aptalaska.com/,,3,United States
sealink-south,SEALink South,159 km,Alaska Power & Telephone Company Wireless (APTW),,2024 November,2024.0,False,https://www.aptalaska.com/,,3,United States
seamewe-4,SeaMeWe-4,"20,000 km","Algerie Telecom, Bangladesh Submarine Cable Company Limited (BSCCL), Bharti Airtel, National Telecom, Orange, Pakistan Telecommunications Company Ltd., Singtel, Sparkle, Sri Lanka Telecom, Tata Communications, Telecom Egypt, Telekom Malaysia, Tunisia Telecom, Verizon, center3, e&","ASN, Fujitsu",2005 December,2005.0,False,https://www.seamewe4.net/,,16,"Algeria, Bangladesh, Egypt, France, India, Italy, Malaysia, Pakistan, Saudi Arabia, Singapore, Sri Lanka, Thailand, Tunisia, United Arab Emirates"
seamewe-5,SeaMeWe-5,"20,000 km","Bangladesh Submarine Cable Company Limited (BSCCL), China Mobile, China Telecom, China Unicom, Djibouti Telecom, Myanmar Post and Telecommunication (MPT), Ooredoo, Orange, Singtel, Sparkle, Sri Lanka Telecom, TeleYemen, Telecom Egypt, Telekom Malaysia, Telkom Indonesia, Transworld, center3, du","ASN, NEC",2016 December,2016.0,False,,,18,"Bangladesh, Djibouti, Egypt, France, Indonesia, Italy, Malaysia, Myanmar, Oman, Pakistan, Saudi Arabia, Singapore, Sri Lanka, Turkey, United Arab Emirates, Yemen"
seamewe-6,SeaMeWe-6,"21,700 km","Bahrain Telecommunications Company (Batelco), Bangladesh Submarine Cable Company Limited (BSCCL), Bharti Airtel, China Unicom, Dhiraagu, Djibouti Telecom, Microsoft, Mobily, Orange, PCCW, Singtel, Sri Lanka Telecom, Telecom Egypt, Telekom Malaysia, Telin, Transworld",SubCom,2027,2027.0,True,,"SeaMeWe-6's branch into the Gulf extends to Bahrain. The landings in Bahrain, Oman, Qatar, and the United Arab Emirates along with additional fiber pairs on the trunk from Bahrain to Oman are fully owned by Batelco, which the company refers to as Al Khaleej.  Airtel has privately owned pairs extending from Singapore to Chennai and Mumbai.",17,"Bahrain, Bangladesh, Djibouti, Egypt, France, India, Malaysia, Maldives, Oman, Pakistan, Qatar, Saudi Arabia, Singapore, Sri Lanka, United Arab Emirates"
seax-1,SEAX-1,250 km,SEAX,HMN Tech,2018 May,2018.0,False,https://seax.net/,,3,"Indonesia, Malaysia, Singapore"
segunda-fos-canal-de-chacao,Segunda FOS Canal de Chacao,40 km,Grupo Gtd,,2015 January,2015.0,False,https://www.gtd.cl,,2,Chile
senegal-horn-of-africa-regional-express-share-cable,Senegal Horn of Africa Regional Express (SHARE) Cable,720 km,Sénégal Numérique SA,HMN Tech,2023 Q3,2023.0,False,https://senegalnumeriquesa.sn/,,2,"Cape Verde, Senegal"
seychelles-to-east-africa-system-seas,Seychelles to East Africa System (SEAS),"1,930 km",Seychelles Cable System Ltd.,ASN,2012 August,2012.0,False,,,2,"Seychelles, Tanzania"
shefa-2,SHEFA-2,"1,000 km",Shefa,Xtera,2008 March,2008.0,False,http://www.shefa.fo,,7,"Faroe Islands, United Kingdom"
sihanoukville-hong-kong-shv-hk,Sihanoukville-Hong Kong (SHV-HK),"2,938 km",Government of Cambodia,HMN Tech,2026,2026.0,True,,,2,"Cambodia, China"
silphium,Silphium,425 km,Libya International Telecommunications Company,HMN Tech,2013 January,2013.0,False,http://www.litc.ly,,2,"Greece, Libya"
sint-maarten-puerto-rico-network-one-smpr-1,Sint Maarten Puerto Rico Network One (SMPR-1),375 km,"Dauphin Telecom, TelEm Group",,2004 December,2004.0,False,,,3,"Saint Martin, Sint Maarten, United States"
sir-abu-nuayr-cable,Sir Abu Nu’ayr Cable,84 km,e&,,2018,2018.0,False,https://www.etisalat.ae/,,2,United Arab Emirates
sirius-north,Sirius North,147 km,Virgin Media Business,,1999,1999.0,False,,,2,United Kingdom
sirius-south,Sirius South,219 km,Virgin Media Business,,1999,1999.0,False,,,2,"Ireland, United Kingdom"
sistem-kabel-rakyat-1malaysia-skr1m,Sistem Kabel Rakyat 1Malaysia (SKR1M),"3,800 km","TIME dotCom, Telekom Malaysia",NEC,2017 September,2017.0,False,,,6,Malaysia
sjjk,SJJK,543 km,XLSmart,,2008 December,2008.0,False,https://www.xl.co.id,,5,Indonesia
skagenfiber-west,Skagenfiber West,170 km,Altibox,,2020 November,2020.0,False,http://www.skagenfiber.no,,2,"Denmark, Norway"
skagerrak-4,Skagerrak 4,137 km,Statnett,,2014 December,2014.0,False,,,2,"Denmark, Norway"
smpcs-packet-1,SMPCS Packet-1,"3,156 km",Telkom Indonesia,ASN,2015,2015.0,False,,,12,Indonesia
smpcs-packet-2,SMPCS Packet-2,"3,498 km",Telkom Indonesia,NEC,2015,2015.0,False,,,11,Indonesia
sol,Sol,"8,153 km",Google,SubCom,2028,2028.0,True,https://cloud.google.com,,4,"Bermuda, Portugal, Spain, United States"
solas,Solas,232 km,"Vodafone, eir",,1999 April,1999.0,False,,,2,"Ireland, United Kingdom"
sorsogon-samar-submarine-fiber-optical-interconnection-project-sssfoip,Sorsogon-Samar Submarine Fiber Optical Interconnection Project (SSSFOIP),21 km,National Grid Corporation of the Philippines,HMN Tech,2019,2019.0,False,,"The Sorsogon-Samar Submarine Fiber Optical Interconnection Project is a power cable, which has optical fiber attached to it.",2,Philippines
south-america-1-sam-1,South America-1 (SAm-1),"25,000 km",Telxius,SubCom,2001 March,2001.0,False,http://www.telxius.com/,,16,"Argentina, Brazil, Chile, Colombia, Dominican Republic, Ecuador, Guatemala, Peru, United States"
south-american-crossing-sac,South American Crossing (SAC),"20,000 km","Cirion Technologies, Sparkle",ASN,2000 September,2000.0,False,https://www.ciriontechnologies.com,"Cirion owns three fiber pairs on the systems, while Sparkle owns one fiber. Only Cirion has capacity on the branch to Colombia.",11,"Argentina, Brazil, Chile, Colombia, Panama, Peru, Venezuela, Virgin Islands (U.S.)"
south-atlantic-cable-system-sacs,South Atlantic Cable System (SACS),"6,165 km",Angola Cables,NEC,2018 September,2018.0,False,https://www.angolacables.co.ao/,,2,"Angola, Brazil"
south-atlantic-inter-link-sail,South Atlantic Inter Link (SAIL),"5,800 km","Camtel, China Unicom",HMN Tech,2020,2020.0,False,,,2,"Brazil, Cameroon"
south-pacific-cable-system-spcsmistral,South Pacific Cable System (SPCS)/Mistral,"7,300 km","América Móvil (Claro), Telxius",SubCom,2021 August,2021.0,False,,,5,"Chile, Ecuador, Guatemala, Peru"
southeast-asia-japan-cable-2-sjc2,Southeast Asia-Japan Cable 2 (SJC2),"10,500 km","China Mobile, Chunghwa Telecom, DongHwa Telecom, KDDI, Meta, SK Broadband, Singtel, Telin, True Corporation, VNPT International",NEC,2025 July,2025.0,False,,,10,"China, Japan, Singapore, South Korea, Taiwan, Thailand, Vietnam"
southeast-asia-japan-cable-sjc,Southeast Asia-Japan Cable (SJC),"8,900 km","China Mobile, China Telecom, Chunghwa Telecom, Globe Telecom, Google, KDDI, National Telecom, Singtel, Telkom Indonesia, Unified National Networks (UNN)","NEC, SubCom",2013 June,2013.0,False,,,6,"Brunei, China, Japan, Philippines, Singapore"
southern-caribbean-fiber,Southern Caribbean Fiber,"3,000 km",Digicel,"ASN, SubCom",2006 September,2006.0,False,,,16,"Antigua and Barbuda, Barbados, Dominica, Grenada, Guadeloupe, Martinique, Montserrat, Saint Barthélemy, Saint Kitts and Nevis, Saint Lucia, Saint Martin, Saint Vincent and the Grenadines, Trinidad and Tobago, United States, Virgin Islands (U.S.)"
southern-cross-cable-network-sccn,Southern Cross Cable Network (SCCN),"30,500 km",Southern Cross Cable Network,"ASN, Fujitsu",2000 November,2000.0,False,http://www.southerncrosscables.com,,9,"Australia, Fiji, New Zealand, United States"
southern-cross-next,Southern Cross NEXT,"13,700 km",Southern Cross Cable Network,ASN,2022 July,2022.0,False,https://www.southerncrosscables.com/,,7,"Australia, Fiji, Kiribati, New Zealand, Tokelau, United States"
sovetskaya-gavan-ilyinskoye,Sovetskaya Gavan-Ilyinskoye,214 km,TTK,,2007,2007.0,False,,,2,Russia
sovetskaya-gavan-uglegorsk,Sovetskaya Gavan-Uglegorsk,127 km,Rostelecom,HMN Tech,2019,2019.0,False,https://www.company.rt.ru/en/,,2,Russia
st-pierre-and-miquelon-cable,St. Pierre and Miquelon Cable,200 km,French Authority of St. Pierre and Miquelon,ASN,2018 May,2018.0,False,,,4,"Canada, Saint Pierre and Miquelon"
st-thomas-st-croix-system,St. Thomas-St. Croix System,183 km,"Virgin Islands Next Generation Networks, Inc.",,1997 May,1997.0,False,http://www.vingn.com,,7,Virgin Islands (U.S.)
sto-hel-one,STO-HEL-One,560 km,GlobalConnect,Ericsson,2008,2008.0,False,https://www.globalconnectcarrier.com/,,4,"Finland, Sweden"
strategic-evolution-underwater-link-seul,Strategic Evolution Underwater Link (SEUL),24 km,Belize Telemedia,HMN Tech,2017 July,2017.0,False,https://www.livedigi.com/,,2,Belize
subcan-link-1,Subcan Link 1,143 km,Cable Submarine de Canarias,SubCom,2002 May,2002.0,False,,,2,Spain
subcan-link-2,Subcan Link 2,136 km,Cable Submarine de Canarias,SubCom,2002 May,2002.0,False,,,2,Spain
submarine-cable-in-the-philippines-scip,Submarine Cable in the Philippines (SCiP),"1,638 km",DITO Telecommunity,HMN Tech,2022,2022.0,False,https://dito.ph/,,17,Philippines
sumatera-bangka-cable-system-sbcs,Sumatera Bangka Cable System (SBCS),57 km,Telkom Indonesia,,2014,2014.0,False,,,2,Indonesia
sunoque-i,Sunoque I,,"Hydro-Québec, Telus",,1999 October,1999.0,False,,,2,Canada
sunoque-ii,Sunoque II,,"Hydro-Québec, Telus",,1999 October,1999.0,False,,,2,Canada
sunoque-iii,Sunoque III,125 km,"Hydro-Québec, Telus",Hexatronic,2027,2027.0,True,https://www.telus.com/,,2,Canada
suriname-guyana-submarine-cable-system-sg-scs,Suriname-Guyana Submarine Cable System (SG-SCS),"1,249 km","Guyana Telephone and Telegraph (GT&T), Telesur",HMN Tech,2010 July,2010.0,False,,,3,"Guyana, Suriname, Trinidad and Tobago"
svalbard-undersea-cable-system,Svalbard Undersea Cable System,"2,714 km",Space Norway,SubCom,2004 January,2004.0,False,https://spacenorway.no,,2,Norway
sweden-estonia-ee-s-1,Sweden-Estonia (EE-S 1),240 km,"Arelion, GN Great Nordic, Telia Eesti (formerly Eesti Telekom, EMT, Elion)",ASN,1995 June,1995.0,False,,,3,"Estonia, Sweden"
sweden-latvia,Sweden-Latvia,391 km,Latvia State Radio and Television Centre,,2005 January,2005.0,False,http://www.lvrtc.lv,,3,"Latvia, Sweden"
sx-tasman-express-sx-tx,SX Tasman Express (SX-TX),"2,276 km",Southern Cross Cable Network,ASN,2028,2028.0,True,http://www.southerncrosscables.com,,2,"Australia, New Zealand"
sydney-melbourne-adelaide-perth-smap,Sydney-Melbourne-Adelaide-Perth (SMAP),"5,000 km",SUBCO,ASN,2026 Q1,2026.0,True,https://sub.co/,,5,Australia
t3,T3,"3,200 km","Liquid Intelligent Technologies, Mauritius Telecom",ASN,2023 Q4,2023.0,False,,,2,"Mauritius, South Africa"
taba-aqaba,Taba-Aqaba,13 km,National Electric Power Company of Jordan,,1998,1998.0,False,,,2,"Egypt, Jordan"
tabua,Tabua,,Google,SubCom,2026,2026.0,True,https://cloud.google.com,,6,"Australia, Fiji, United States"
taihei,Taihei,"7,000 km",Google,NEC,2029,2029.0,True,https://cloud.google.com,,2,"Japan, United States"
taino-carib,Taino-Carib,187 km,"AT&T, Altice USA, CANTV, Cogent, Embratel, Liberty Networks, Orange, Setar",AT&T SSI,1992 January,1992.0,False,,,3,United States
taiwan-matsu-no-4,Taiwan-Matsu No.4,300 km,Chunghwa Telecom,,2026 June,2026.0,True,,,4,Taiwan
taiwan-penghu-kinmen-matsu-no-2-tpkm2,Taiwan Penghu Kinmen Matsu No.2 (TPKM2),467 km,Chunghwa Telecom,NEC,2000,2000.0,False,,,6,Taiwan
taiwan-penghu-kinmen-matsu-no-3-tpkm3,Taiwan Penghu Kinmen Matsu No.3 (TPKM3),510 km,Chunghwa Telecom,NEC,2013,2013.0,False,,,10,Taiwan
taiwan-strait-express-1-tse-1,Taiwan Strait Express-1 (TSE-1),260 km,"China Mobile, China Unicom, Chunghwa Telecom, Far EasTone (FET), Taiwan International Gateway Corporation, Taiwan Mobile",HMN Tech,2013 January,2013.0,False,,,2,"China, Taiwan"
talaylink,TalayLink,,Google,SubCom,2028,2028.0,True,https://cloud.google.com,,4,"Australia, Christmas Island, Thailand"
tam-1,TAM-1,"7,200 km",Trans Americas Fiber,Xtera,2026 Q1,2026.0,True,https://transamericasfiber.com/,,10,"Colombia, Costa Rica, Guatemala, Honduras, Mexico, Panama, United States, Virgin Islands (U.S.)"
tampnet-north,Tampnet North,"1,751 km",Tampnet,"Ericsson, Nexans",1999 July,1999.0,False,https://www.tampnet.com/,,3,"Norway, United Kingdom"
tampnet-south,Tampnet South,"1,751 km",Tampnet,"Ericsson, Nexans",1999 July,1999.0,False,https://www.tampnet.com/,,2,"Norway, United Kingdom"
tamtam,Tamtam,"1,000 km",Prima,ASN,2027 Q4,2027.0,True,https://www.prima.vu/,,5,"New Caledonia, Vanuatu"
tangerine,Tangerine,112 km,Colt,,2000 September,2000.0,False,,,2,"Belgium, United Kingdom"
tanjung-pandan-sungai-kakap,Tanjung Pandan-Sungai Kakap,348 km,Moratelindo,,2019 Q4,2019.0,False,http://www.moratelindo.co.id,,2,Indonesia
tannat,Tannat,"2,000 km","Antel Uruguay, Google",ASN,2018 Q1,2018.0,False,,,3,"Argentina, Brazil, Uruguay"
tarakan-selor-cable-system-tscs,Tarakan Selor Cable System (TSCS),83 km,Telkom Indonesia,,2014,2014.0,False,,,2,Indonesia
tasman-global-access-tga-cable,Tasman Global Access (TGA) Cable,"2,288 km","One NZ, Spark New Zealand, Telstra",ASN,2017 March,2017.0,False,,,2,"Australia, New Zealand"
tasman-ring-network,Tasman Ring Network,"6,000 km",Datagrid New Zealand,,2027 Q4,2027.0,True,https://www.datagrid.nz/,,6,"Australia, New Zealand"
tata-tgn-atlantic-south,Tata TGN-Atlantic South,,Tata Communications,,2001 June,2001.0,False,http://www.tatacommunications.com,,2,"United Kingdom, United States"
tata-tgn-gulf,Tata TGN-Gulf,"4,031 km",Tata Communications,SubCom,2012 February,2012.0,False,http://www.tatacommunications.com,,6,"Bahrain, Oman, Qatar, Saudi Arabia, United Arab Emirates"
tata-tgn-intra-asia-tgn-ia,Tata TGN-Intra Asia (TGN-IA),"6,700 km",Tata Communications,SubCom,2009 March,2009.0,False,http://www.tatacommunications.com,,4,"China, Philippines, Singapore, Vietnam"
tata-tgn-pacific,Tata TGN-Pacific,"22,300 km",Tata Communications,SubCom,2002 December,2002.0,False,http://www.tatacommunications.com,,5,"Guam, Japan, United States"
tata-tgn-tata-indicom,Tata TGN-Tata Indicom,"3,175 km",Tata Communications,SubCom,2004 November,2004.0,False,http://www.tatacommunications.com,,2,"India, Singapore"
tata-tgn-western-europe,Tata TGN-Western Europe,"3,578 km",Tata Communications,SubCom,2002 June,2002.0,False,http://www.tatacommunications.com,,3,"Portugal, Spain, United Kingdom"
tautira-teahupoo,Tautira-Teahupo'o,38 km,OPT French Polynesia,Prysmian,2023 Q4,2023.0,False,,,2,French Polynesia
te-northtgn-eurasiaseacomalexandrosmedex,TE North/TGN-Eurasia/SEACOM/Alexandros/Medex,"3,634 km","Algerie Telecom, Cyta, PCCW, SEACOM, Tata Communications, Telecom Egypt",ASN,2011 July,2011.0,False,https://www.te.eg/wps/portal/te/Business/Wholesale/,"Telecom Egypt operates TE North, but has sold fiber pairs to several parties. Tata Communications owns one fiber pair on the cable which the company refers to as TGN-Eurasia. SEACOM owns one fiber pair. Cyta owns one fiber pair and whollly-owns the branch to Cyprus which the company refers to as Alexandros. PCCW and Algerie Telecom operate a branch to Algeria called Medex.",4,"Algeria, Cyprus, Egypt, France"
tegopa,TEGOPA,222 km,Telefonica,,1994,1994.0,False,,,3,Spain
telstra-endeavour,Telstra Endeavour,"9,125 km",Telstra,ASN,2008 September,2008.0,False,https://www.telstrainternational.com/,,2,"Australia, United States"
tenerife-gran-canaria,Tenerife-Gran Canaria,110 km,Telefonica,,1999,1999.0,False,,,2,Spain
tenerife-la-palma,Tenerife-La Palma,,Telefonica,,,,False,,,2,Spain
terra-sw,TERRA SW,,GCI Communication Corp,,2012,2012.0,False,https://www.gci.com/,,11,United States
thailand-domestic-submarine-cable-network-tdscn,Thailand Domestic Submarine Cable Network (TDSCN),884 km,National Telecom,,2001 May,2001.0,False,,,5,Thailand
thailand-indonesia-singapore-tis,Thailand-Indonesia-Singapore (TIS),968 km,"National Telecom, Singtel, Telkom Indonesia",NEC,2003 December,2003.0,False,,,3,"Indonesia, Singapore, Thailand"
the-east-african-marine-system-teams,The East African Marine System (TEAMS),"5,054 km","TEAMS Ltd., e&",ASN,2009 October,2009.0,False,,,2,"Kenya, United Arab Emirates"
thetis,Thetis,660 km,Vodafone,Nexans,2022,2022.0,False,https://www.vodafone.gr/,,20,Greece
thetis-express,Thetis Express,340 km,Vodafone,,2027 Q3,2027.0,True,https://www.vodafone.gr/,,3,Greece
tikal-amx3,TIKAL-AMX3,"1,935 km","América Móvil (Claro), Telxius",ASN,2026,2026.0,True,,,3,"Guatemala, Mexico, United States"
timor-leste-south-submarine-cable-tlssc,Timor-Leste South Submarine Cable (TLSSC),607 km,Government of Timor-Leste,ASN,2025,2025.0,False,,,1,Timor-Leste
tko-connect,TKO Connect,6 km,"HKBN, iAdvantage",,2023 September,2023.0,False,,,2,China
tmx5,TMX5,383 km,Telmex,,2025,2025.0,False,,,2,Mexico
tobrok-emasaed-cable-system,Tobrok-Emasaed Cable System,178 km,Libya International Telecommunications Company,HMN Tech,2010 October,2010.0,False,,,2,Libya
tokelau-submarine-cable,Tokelau Submarine Cable,250 km,Teletok,ASN,2023 August,2023.0,False,https://www.teletokco.tk,,3,Tokelau
tonga-cable,Tonga Cable,827 km,"Digicel Tonga, Government of Tonga, Tonga Communications Corporation",ASN,2013 August,2013.0,False,,,2,"Fiji, Tonga"
tonga-domestic-cable-extension-tdce,Tonga Domestic Cable Extension (TDCE),410 km,Tonga Cable Limited,ASN,2018 January,2018.0,False,,,3,Tonga
topaz,Topaz,,Google,NEC,2023,2023.0,False,https://cloud.google.com,,5,"Canada, Japan, Taiwan"
tpu,TPU,"13,470 km",Google,NEC,2026,2026.0,True,https://cloud.google.com,,5,"Guam, Northern Mariana Islands, Philippines, Taiwan, United States"
trans-adriatic-express-tae,Trans Adriatic Express (TAE),106 km,"EXA Infrastructure, TAP AG",,2023 May,2023.0,False,https://exainfra.net/,,2,"Albania, Italy"
trans-caspian-fiber-optic-cable-project,Trans-Caspian Fiber Optic Cable Project,380 km,"Azertelecom, Kazakhtelecom",,2026 Q4,2026.0,True,,,2,"Azerbaijan, Kazakhstan"
trans-global-cable-system-tgcs,Trans Global Cable System (TGCS),"1,200 km",Trans Indonesia Supercorridor,HMN Tech,2026 Q4,2026.0,True,https://www.supercorridor.co.id/,,7,Indonesia
trans-pacific-express-tpe-cable-system,Trans-Pacific Express (TPE) Cable System,"17,968 km","AT&T, China Telecom, China Unicom, Chunghwa Telecom, KT, NTT, Verizon",SubCom,2008 August,2008.0,False,https://tpecable.org:59876/,,6,"China, Japan, South Korea, Taiwan, United States"
transcan-2,TRANSCAN-2,238 km,Telefonica,,1990,1990.0,False,,,4,Spain
transcan-3,TRANSCAN-3,210 km,Telefonica,,2000,2000.0,False,,,2,Spain
transworld-tw1,Transworld (TW1),"1,300 km",Transworld,SubCom,2006 June,2006.0,False,http://www.tw1.com,,3,"Oman, Pakistan, United Arab Emirates"
tt1,TT1,44 km,"Alliance Telecommunications, Liberty Networks, TSTT",,2015 August,2015.0,False,,,2,Trinidad and Tobago
tui-samoa,Tui-Samoa,"1,693 km",Samoa Submarine Cable Company,ASN,2018 February,2018.0,False,http://ssccsamoa.com/,,6,"Fiji, Samoa, Wallis and Futuna"
turcyos-1,Turcyos-1,110 km,Turk Telekom,ASN,1993,1993.0,False,,,2,"Cyprus, Turkey"
turcyos-2,Turcyos-2,213 km,Turk Telekom,,2011 March,2011.0,False,http://www.turktelekom.com.tr,,2,"Cyprus, Turkey"
tverrlinken,Tverrlinken,,KystTele,,2010,2010.0,False,http://www.kysttele.no,,4,Norway
uae-iran,UAE-Iran,170 km,"Telecommunication Infrastructure Company of Iran, e&",ASN,1992,1992.0,False,,,2,"Iran, United Arab Emirates"
ugarit,UGARIT,239 km,"A1 Telekom Austria, AT&T, BT, Cyta, Deutsche Telekom, Lebanese Ministry of Telecommunications, Orange, Singtel, Sparkle, Syrian Telecommunications Establishment, Tata Communications, Telefonica, Vivacom",SubCom,1995 February,1995.0,False,,,2,"Cyprus, Syria"
uk-channel-islands-7,UK-Channel Islands-7,124 km,"BT, Sure",,1994 January,1994.0,False,,,2,"Guernsey, United Kingdom"
uk-channel-islands-8,UK-Channel Islands-8,237 km,BT,,1994 January,1994.0,False,,,2,"Jersey, United Kingdom"
ulleung-mainland-2,Ulleung-Mainland 2,164 km,KT,,2016,2016.0,False,,,2,South Korea
ultramar-ge,Ultramar GE,263 km,GITGE (Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial),ASN,2023 March,2023.0,False,https://gitge.com/en/home/,,2,"Equatorial Guinea, Sao Tome and Principe"
ulysses-2,Ulysses 2,,Verizon,,1997,1997.0,False,,,2,"Netherlands, United Kingdom"
umo,UMO,"2,227 km",Campana Group,HMN Tech,2023 September,2023.0,False,https://www.campanaworks.com/,,2,"Myanmar, Singapore"
umoja,Umoja,,Google,SubCom,2028,2028.0,True,https://cloud.google.com,,2,"Australia, South Africa"
unisur,Unisur,265 km,"Antel Uruguay, Telxius",ASN,1995 March,1995.0,False,,,2,"Argentina, Uruguay"
unitel-north-submarine-cable-unsc,Unitel North Submarine Cable (UNSC),"1,145 km",Unitel (Angola),HMN Tech,2023 January,2023.0,False,http://www.unitel.ao,,4,Angola
unitirreno,Unitirreno,"1,156 km","Azimut, Unidata",ASN,2025 October,2025.0,False,http://www.unitirreno.com/,,4,Italy
unity,Unity,"9,620 km","Bharti Airtel, Google, KDDI, Singtel, TIME dotCom, Telstra","NEC, SubCom",2010 March,2010.0,False,,,2,"Japan, United States"
vaka,VAKA,668 km,Tuvalu Telecommunications Corporation (TTC),SubCom,2026 Q2,2026.0,True,https://www.tuvalutelecom.tv/,,1,Tuvalu
vancouver-bowen-island-vancouver-island,Vancouver-Bowen Island-Vancouver Island,75 km,Rogers Communications,,2019 April,2019.0,False,,,4,Canada
venezuelan-festoon,Venezuelan Festoon,"1,200 km",CANTV,,1998,1998.0,False,,,12,Venezuela
verena,Verena,630 km,Altibox,Xtera,2028 Q4,2028.0,True,https://www.altiboxcarrier.com/,,2,"Denmark, United Kingdom"
vietnam-singapore-cable-system-vts,Vietnam-Singapore Cable System (VTS),,"Singtel, Viettel Corporation",,2027 Q2,2027.0,True,,,4,"Malaysia, Singapore, Thailand, Vietnam"
vodafone-greece-domestic,Vodafone Greece Domestic,92 km,Vodafone,Norddeutsche Seekabelwerke GmbH (NSW),2008,2008.0,False,https://www.vodafone.gr/,,2,Greece
vstervik-visby,Västervik-Visby,,GlobalConnect,,2008,2008.0,False,https://globalconnectcarrier.com/,,2,Sweden
west-africa-cable-system-wacs,West Africa Cable System (WACS),"14,530 km","Altice Portugal, Angola Cables, Bayobab, Broadband Infraco, Camtel, Cape Verde Telecom, Congo Telecom, Liquid Intelligent Technologies, Office Congolais de Poste et Télécommunication, PCCW, Tata Communications, Telecom Namibia, Telkom South Africa, Togo Telecom, Vodacom DRC, Vodafone, Vodafone Espana, Vodafone Ghana",ASN,2012 May,2012.0,False,https://wacscable.com/,The cable provides connectivity from Portugal to the United Kingdom via dedicated fiber pairs on an existing cable.,13,"Angola, Cameroon, Cape Verde, Congo, Dem. Rep., Congo, Rep., Côte d'Ivoire, Ghana, Namibia, Nigeria, Portugal, South Africa, Spain, Togo"
whidbey-island-camano-island,Whidbey Island-Camano Island,4 km,Whidbey Telecom,Prysmian,1999,1999.0,False,,,2,United States
whidbey-island-everett,Whidbey Island-Everett,9 km,Whidbey Telecom,Prysmian,1999,1999.0,False,,,2,United States
whidbey-island-hat-island,Whidbey Island-Hat Island,4 km,Whidbey Telecom,Prysmian,1999,1999.0,False,,,2,United States
whidbey-island-seattle,Whidbey Island-Seattle,44 km,Whidbey Telecom,Prysmian,1999,1999.0,False,,,2,United States
x-link-submarine-cable,X-Link Submarine Cable,775 km,E-Networks Inc.,,2019 December,2019.0,False,https://www.enetworks.gy/,The Grenada-Guyana and Guyana-Suriname segments are planned.,2,"Barbados, Guyana"
yellow,Yellow,"7,001 km",Colt,SubCom,2000 September,2000.0,False,,,2,"United Kingdom, United States"
yui,YUI,720 km,Okinawa Cellular Telephone Company,NEC,2023 July,2023.0,False,,,4,Japan
yuza-tobishima,Yuza-Tobishima,31 km,NTT,NEC,2022 February,2022.0,False,,,2,Japan
zayo-festoon,Zayo Festoon,,Zayo,SubCom,2015,2015.0,False,,,3,United States
zeus,Zeus,,Zayo,Hexatronic,2022 July,2022.0,False,https://zayoeurope.com/,,2,"Netherlands, United Kingdom"
